,ID,Sex,Habitat,Ave_Nares_mm
1,1363-74503,M,Oak,25.87
2,1363-74513,M,Oak,23.84
3,1363-74520,F,Oak,24.79
4,1363-74521,F,Oak,22.42
5,1363-74522,M,Oak,23.33
6,1363-74528,F,Oak,22.88
7,1363-74529,F,Oak,23.54
8,1363-74530,F,Oak,24.35
9,1363-74531,F,Oak,23.54
10,1363-74532,M,Oak,25.26
11,1363-74534,F,Oak,21.61
12,1363-74536,M,Oak,24.29
13,1363-74537,M,Oak,24.89
14,1363-74539,M,Oak,26.32
15,1363-74540,F,Oak,22.52
16,1363-74541,F,Oak,22.4
17,1363-74542,M,Oak,23.65
18,1363-74543,F,Oak,21.98
19,1363-74544,M,Oak,25.33
20,1363-74550,M,Oak,23.56
21,1363-74553,M,Oak,24.83
22,1363-74557,F,Oak,22.84
23,1363-74558,M,Oak,24.06
24,1363-74559,M,Oak,22.6
25,1363-74569,F,Oak,23.86
26,1363-74573,M,Oak,24.74
27,1363-74577,M,Oak,26.64
28,1363-74580,M,Oak,24.52
29,1363-74581,F,Oak,23.49
30,1363-74583,M,Oak,25
31,1363-74586,M,Oak,24.55
32,1363-74590,M,Oak,23.31
33,1363-74597,M,Oak,24.14
34,1363-74598,M,Oak,23.58
35,1363-74599,M,Oak,23.13
36,1363-74600,F,Oak,21.56
37,1513-12439,F,Oak,23.38
38,1513-13234,M,Oak,26.13
39,1513-13455,M,Oak,25.75
40,1513-13458,F,Oak,21.77
41,1513-13459,F,Oak,23.06
42,1513-13466,F,Oak,24.45
43,1573-28035,M,Oak,24.89
44,1573-28044,F,Oak,22.27
45,1573-28052,M,Oak,23.98
46,1573-28069,M,Oak,23.7
47,1573-28078,F,Oak,23.23
48,1573-28082,M,Oak,25.47
49,1573-28094,M,Oak,23.96
50,1573-28096,F,Oak,21.82
51,1583-92701,M,Oak,23.64
52,1583-92703,M,Oak,29.61
53,1583-92704,M,Oak,26.13
54,1583-92718,M,Oak,25.32
55,1583-92726,M,Oak,24.89
56,1583-92728,M,Oak,24.66
57,1583-92739,M,Oak,24.48
58,1583-92747,M,Oak,24.64
59,1583-92749,M,Oak,25.24
60,1603-78715,F,Oak,22.13
61,1603-78716,M,Oak,23.6
62,1603-78717,F,Oak,22.47
63,1603-78718,M,Oak,25
64,1603-78719,M,Oak,23.91
65,1603-78720,F,Oak,20.94
66,1603-78723,F,Oak,21.6
67,1603-78733,F,Oak,21.34
68,1603-78734,F,Oak,22.69
69,1603-78735,M,Oak,23.18
70,1603-78736,F,Oak,20.24
71,1603-78743,M,Oak,25.18
72,1603-78744,F,Oak,24.4
73,1603-78750,F,Oak,22.58
74,1603-78753,F,Oak,21.31
75,1603-78755,F,Oak,23.22
76,1603-78756,M,Oak,24.99
77,1603-78758,F,Oak,23.75
78,1603-78764,F,Oak,22.64
79,1603-78769,M,Oak,25.2
80,1603-78771,F,Oak,22.65
81,1603-78772,M,Oak,25.98
82,1603-78773,F,Oak,22.11
83,1603-78776,M,Oak,24.67
84,1603-78779,F,Oak,20.96
85,1603-78782,F,Oak,20.98
86,1603-78785,F,Oak,23.79
87,1603-78786,F,Oak,24.83
88,1603-78799,F,Oak,23.66
89,1603-78800,F,Oak,23.76
90,1603-79101,F,Oak,24.52
91,1603-79105,F,Oak,23.76
92,1603-79106,M,Oak,24.35
93,1603-79114,F,Oak,22.27
94,1603-79115,F,Oak,23.55
95,1603-79130,F,Oak,23.39
96,1603-79131,M,Oak,25.79
97,1603-79132,F,Oak,22.98
98,1603-79133,F,Oak,23.98
99,1603-79136,F,Oak,22.56
100,1603-79142,M,Oak,24.62
101,1603-79144,M,Oak,24.9
102,1603-79145,M,Oak,26.23
103,1603-79150,M,Oak,24.39
104,1603-79151,F,Oak,21.32
105,1603-79152,M,Oak,24.08
106,1603-79153,F,Oak,23.28
107,1603-79154,M,Oak,22.84
108,1603-79155,F,Oak,22.2
109,1603-79157,F,Oak,23.22
110,1603-79158,F,Oak,21.6
111,1603-79159,M,Oak,24.13
112,1603-79160,F,Oak,20.69
113,1603-79161,M,Oak,24.05
114,1603-79162,M,Oak,25.38
115,1603-79163,M,Oak,25.41
116,1603-79164,M,Oak,24.83
117,1603-79168,M,Oak,23.73
118,1603-79171,M,Oak,24.87
119,1603-79174,F,Oak,23.39
120,1603-79192,M,Oak,23.4
121,1603-79193,M,Oak,23.77
122,1603-79194,F,Oak,23.09
123,1603-79198,F,Oak,22.85
124,1603-79203,F,Oak,22.49
125,1603-79218,M,Oak,26.25
126,1603-79232,M,Oak,25.03
127,1603-79236,M,Oak,27.59
128,1603-79252,F,Oak,24.56
129,1603-79259,F,Oak,21.79
130,1603-79260,F,Oak,23.16
131,1603-79261,M,Oak,26.19
132,1603-79263,M,Oak,24.68
133,1603-79264,F,Oak,21.12
134,1603-79268,M,Oak,23.58
135,1603-79270,M,Oak,25.74
136,1603-79271,F,Oak,21.14
137,1603-79275,F,Oak,21.62
138,1603-79276,M,Oak,24.93
139,1603-79282,M,Oak,23.19
140,1603-79294,M,Oak,23.35
141,1603-79295,F,Oak,23.83
142,1603-79296,M,Oak,23.81
143,1603-79297,M,Oak,23.33
144,1603-79298,F,Oak,22.55
145,1603-79301,M,Oak,25.32
146,1603-79302,F,Oak,22.52
147,1603-79303,M,Oak,25
148,1603-79304,M,Oak,26.13
149,1603-79305,F,Oak,23.3
150,1603-79308,F,Oak,24.03
151,1603-79311,F,Oak,20.97
152,1603-79313,F,Oak,22.37
153,1603-79314,F,Oak,21.67
154,1603-79315,F,Oak,23.32
155,1603-79322,F,Oak,24.43
156,1603-79324,F,Oak,23.69
157,1603-79326,M,Oak,24.06
158,1603-79327,F,Oak,23.04
159,1603-79329,F,Oak,23
160,1603-79330,M,Oak,25.26
161,1603-79331,F,Oak,23.32
162,1603-79332,F,Oak,22.3
163,1603-79338,F,Oak,22
164,1603-79339,F,Oak,21.73
165,1603-79348,F,Oak,21.9
166,1603-79350,F,Oak,23.93
167,1603-79354,F,Oak,21.71
168,1603-79356,F,Oak,21.56
169,1603-79392,M,Oak,24.5
170,1703-24635,M,Oak,24.46
171,1703-64410,F,Oak,23.29
172,1703-64443,F,Oak,20.13
173,1703-64449,M,Oak,24.62
174,1703-64450,M,Oak,23.99
175,1703-64451,M,Oak,24.6
176,1703-64459,M,Oak,25.04
177,1703-64474,M,Oak,23.01
178,1703-64490,M,Oak,24.45
179,1703-64494,M,Oak,25.14
180,1703-64495,M,Oak,25.67
181,1703-64497,M,Oak,25.65
182,1703-64506,M,Oak,25.69
183,1703-64517,M,Oak,23.97
184,1703-64521,F,Oak,22.77
185,1703-64528,M,Oak,25.83
186,1703-64534,M,Oak,24.13
187,1703-64536,M,Oak,23.85
188,1703-64547,F,Oak,21.83
189,1703-64550,M,Oak,25.87
190,1703-64551,M,Oak,23.54
191,1703-64560,M,Oak,24.46
192,1703-64562,M,Oak,23.57
193,1703-64570,M,Oak,24.1
194,1703-64577,M,Oak,25.77
195,1703-64587,M,Oak,24.99
196,1703-64588,M,Oak,23.85
197,1703-64590,M,Oak,26.43
198,1703-64594,M,Oak,24.85
199,1703-64598,M,Oak,23.54
200,1703-64607,M,Oak,24.24
201,1703-64608,M,Oak,23.76
202,1703-64614,M,Oak,25.91
203,1703-64617,M,Oak,26.03
204,1703-64618,M,Oak,24.48
205,1703-64620,M,Oak,24.93
206,1703-64621,M,Oak,25.85
207,1703-64625,F,Oak,23.93
208,1703-64626,M,Oak,24.3
209,1703-64630,M,Oak,25.8
210,1703-64661,M,Oak,24.64
211,1703-64668,M,Oak,24.64
212,1703-64669,M,Oak,22.48
213,1703-64680,M,Oak,25.71
214,1703-64683,M,Oak,24.44
215,1703-64685,F,Oak,24.08
216,1703-64689,F,Oak,22.4
217,1713-24902,M,Oak,24.74
218,1713-24906,F,Oak,25.34
219,1713-24910,F,Oak,22.35
220,1713-24911,F,Oak,23.32
221,1713-24912,F,Oak,23.29
222,1713-24915,F,Oak,24.6
223,1713-24916,F,Oak,26.44
224,1713-24918,F,Oak,21.95
225,1713-24927,F,Oak,22.5
226,1713-24938,F,Oak,23.54
227,1713-24972,M,Oak,25.59
228,1713-24973,M,Oak,24.68
229,1783-24601,M,Oak,25.38
230,1783-24602,F,Oak,22.02
231,1783-24605,M,Oak,24.59
232,1783-24617,F,Oak,24.44
233,1783-24619,M,Oak,26.84
234,1783-24622,F,Oak,20.65
235,1783-24631,M,Oak,25.89
236,1783-24639,M,Oak,24.63
237,1783-24640,M,Oak,25.41
238,1783-24643,F,Oak,22.2
239,1783-24648,M,Oak,25.76
240,1783-24649,M,Oak,23.18
241,1783-24657,F,Oak,23.22
242,1783-24667,M,Oak,25.2
243,1783-24677,M,Oak,25.02
244,1783-24679,M,Oak,24.49
245,1783-24697,M,Oak,24.75
246,1783-24703,M,Oak,25.07
247,1783-24711,M,Oak,24.99
248,1783-24755,M,Oak,22.63
249,1783-24757,F,Oak,23.22
250,1783-24759,M,Oak,24.39
251,1783-24760,F,Oak,23.31
252,1783-24761,M,Oak,24.03
253,1783-24795,F,Oak,22.45
254,1783-24798,F,Oak,22.64
255,1783-24800,M,Oak,26.18
256,1783-24805,F,Oak,23.69
257,1783-24815,F,Oak,22.53
258,1783-24817,M,Oak,23.72
259,1783-24818,F,Oak,22.11
260,1783-24819,F,Oak,22.78
261,1783-24833,M,Oak,26.34
262,1783-24834,M,Oak,26.17
263,1783-24842,M,Oak,24.3
264,1783-24843,F,Oak,23.95
265,1783-24845,M,Oak,26.52
266,1783-24846,M,Oak,25.52
267,1783-24862,M,Oak,25.58
268,1783-24865,M,Oak,25.58
269,1783-24866,F,Oak,22.02
270,1783-24868,M,Oak,25.51
271,1783-24869,F,Oak,22.96
272,1783-24877,F,Oak,25.29
273,1783-24880,M,Oak,26.44
274,1783-24885,M,Oak,25.4
275,1783-24888,M,Oak,26.2
276,1783-24891,M,Oak,26.23
277,1783-24892,M,Oak,26.38
278,1783-43402,F,Oak,22.68
279,1783-43405,F,Oak,23.89
280,1783-43406,F,Oak,22.99
281,1783-43407,F,Oak,22.7
282,1783-43409,F,Oak,22.89
283,1783-43423,F,Oak,23.32
284,1783-43432,F,Oak,23.07
285,1783-43433,F,Oak,21.98
286,1783-43435,F,Oak,22.99
287,1783-43436,M,Oak,24.96
288,1783-43446,M,Oak,24.87
289,1783-43450,F,Oak,23.21
290,1783-43457,M,Oak,24.44
291,1783-43468,F,Oak,21.76
292,1783-43469,M,Oak,23.33
293,1783-43476,F,Oak,22.85
294,1783-43495,M,Oak,24.05
295,1783-43518,M,Oak,23.79
296,1783-43524,F,Oak,22.31
297,1783-43533,F,Oak,23.72
298,1783-43535,M,Oak,22.79
299,1783-43536,M,Oak,24.96
300,1783-43537,F,Oak,21.83
301,1783-43539,M,Oak,22.64
302,1783-43556,M,Oak,27.05
303,1783-43564,F,Oak,21.2
304,1783-43573,F,Oak,23.84
305,1783-43574,M,Oak,23.78
306,1783-62604,M,Oak,24.17
307,1783-62605,F,Oak,22.94
308,1783-62608,M,Oak,25.66
309,1783-62639,M,Oak,23.78
310,1783-62640,F,Oak,21.33
311,1783-62642,M,Oak,25.89
312,1783-62672,F,Oak,20.94
313,1783-62673,F,Oak,20.04
314,1783-62675,F,Oak,22.18
315,1783-62677,F,Oak,22.75
316,1783-62678,M,Oak,24.95
317,1783-62679,M,Oak,24.79
318,1783-62680,M,Oak,24.27
319,1783-62687,F,Oak,22.73
320,1783-62691,M,Oak,24.53
321,1783-62697,F,Oak,23.33
322,1783-62724,M,Oak,22.98
323,1783-62794,M,Oak,25.3
324,1783-62795,F,Oak,22.39
325,1783-62796,F,Oak,24.24
326,1783-62798,M,Oak,25.36
327,1783-62799,F,Oak,22.7
328,1793-17816,M,Oak,23.72
329,1793-17817,M,Oak,25.41
330,1793-17821,M,Oak,24.46
331,1793-17822,M,Oak,24.76
332,1793-17823,M,Oak,23.68
333,1793-17824,M,Oak,25.4
334,1793-17828,M,Oak,23.22
335,1793-17871,M,Oak,24.98
336,1833-00301,M,Oak,23.13
337,1833-00312,F,Oak,22.82
338,1833-00343,F,Oak,23.42
339,1833-00354,F,Oak,22.44
340,1833-00364,F,Oak,21.12
341,1833-00365,F,Oak,22.11
342,1833-00368,F,Oak,21.3
343,1833-00373,F,Oak,21.06
344,1833-00374,M,Oak,23.37
345,1833-00375,M,Oak,25.7
346,1833-00376,M,Oak,25.13
347,1833-00380,F,Oak,22.9
348,1833-00383,F,Oak,22.1
349,1833-00386,M,Oak,26.2
350,1833-00387,M,Oak,25.95
351,1833-00390,M,Oak,25.08
352,1833-00392,M,Oak,22.7
353,1833-00397,M,Oak,24.67
354,1833-00418,F,Oak,23.04
355,1833-00510,F,Oak,22.58
356,1833-00511,F,Oak,22.05
357,1833-00513,M,Oak,25.99
358,1833-00518,F,Oak,22.3
359,1833-00522,F,Oak,22.53
360,1833-00541,F,Oak,21.41
361,1833-00545,M,Oak,23.93
362,1833-00551,F,Oak,22.95
363,1833-00552,M,Oak,25.41
364,1833-00555,M,Oak,26.31
365,1833-00556,F,Oak,22.07
366,1833-00557,F,Oak,22.37
367,1833-00563,M,Oak,24.44
368,1833-00564,M,Oak,30.02
369,1833-00568,F,Oak,21.84
370,1833-00569,F,Oak,23.65
371,1833-00572,M,Oak,24.74
372,1833-00580,F,Oak,22.48
373,1833-00587,M,Oak,21.72
374,1833-00600,F,Oak,25.3
375,1833-00615,M,Oak,24.44
376,1833-00623,M,Oak,27.68
377,1833-00624,F,Oak,21.85
378,1833-00626,F,Oak,22.07
379,1833-00634,F,Oak,22.56
380,1833-00648,M,Oak,25.07
381,1833-00651,M,Oak,23.28
382,1833-00656,M,Oak,23.74
383,1833-00659,F,Oak,22.1
384,1833-00687,M,Oak,23.75
385,1833-00689,F,Oak,20.71
386,1893-09013,M,Oak,24.32
387,1703-64692,F,Pine,27.21
388,1583-92730,F,Pine,26.87
389,1603-79357,F,Pine,26.04
390,1783-62636,F,Pine,25.59
391,1713-24922,F,Pine,25.52
392,1783-43593,F,Pine,25.45
393,1783-24848,F,Pine,25.41
394,1783-43578,F,Pine,25.34
395,1603-79336,F,Pine,24.55
396,1603-79364,F,Pine,24.98
397,1833-00503,F,Pine,24.51
398,1713-24904,F,Pine,24.95
399,1583-92746,F,Pine,24.64
400,1833-00514,F,Pine,24.61
401,1833-00533,F,Pine,24.61
402,1603-79351,F,Pine,24.59
403,1833-00517,F,Pine,24.58
404,1833-00316,F,Pine,24.57
405,1603-79335,F,Pine,23.98
406,1783-62620,F,Pine,24.48
407,1783-43579,F,Pine,24.35
408,1783-62653,F,Pine,24.33
409,1783-43589,F,Pine,24.25
410,1833-00543,F,Pine,24.16
411,1833-00532,F,Pine,24.09
412,1783-24634,F,Pine,24.01
413,1783-43594,F,Pine,23.97
414,1783-62626,F,Pine,23.87
415,1713-24937,F,Pine,23.86
416,1603-79323,F,Pine,23.8
417,1603-78781,F,Pine,23.76
418,1833-00536,F,Pine,23.69
419,1713-24931,F,Pine,23.6
420,1833-00501,F,Pine,23.56
421,1703-64468,F,Pine,23.53
422,1793-17834,F,Pine,23.52
423,1783-62638,F,Pine,23.51
424,1783-62621,F,Pine,23.36
425,1833-00602,F,Pine,23.44
426,1833-00537,F,Pine,23.37
427,1703-64558,F,Pine,23.33
428,1713-24934,F,Pine,23.33
429,1783-62749,F,Pine,23.26
430,1783-62625,F,Pine,23.19
431,1703-64475,F,Pine,23.04
432,1783-24897,F,Pine,23
433,1833-00310,F,Pine,22.99
434,1603-79353,F,Pine,22.98
435,1783-62648,F,Pine,22.97
436,1783-62666,F,Pine,22.94
437,1833-00690,F,Pine,22.94
438,1833-00519,F,Pine,22.93
439,1833-00682,F,Pine,22.85
440,1833-00507,F,Pine,22.83
441,1783-62662,F,Pine,22.76
442,1603-78790,F,Pine,22.73
443,1833-00549,F,Pine,22.73
444,1713-24935,F,Pine,22.7
445,1783-62644,F,Pine,22.7
446,1833-00530,F,Pine,22.59
447,1783-62690,F,Pine,22.56
448,1783-62660,F,Pine,22.57
449,1833-00621,F,Pine,22.56
450,1783-62632,F,Pine,22.46
451,1783-62656,F,Pine,22.32
452,1713-24933,F,Pine,22.36
453,1623-17866,F,Pine,22.29
454,1783-62669,F,Pine,22.23
455,1833-00672,F,Pine,22.21
456,1833-00560,F,Pine,22.16
457,1703-64479,F,Pine,22.11
458,1783-62635,F,Pine,22.09
459,1833-00695,F,Pine,22.04
460,1833-00683,F,Pine,22.01
461,1783-62708,F,Pine,21.88
462,1783-62624,F,Pine,21.54
463,1833-00679,F,Pine,21.54
464,1793-17803,F,Pine,21.09
465,1783-62665,F,Pine,21.04
466,1783-24875,M,Pine,29.1
467,1703-64698,M,Pine,28.62
468,1363-74566,M,Pine,27.04
469,1703-64461,M,Pine,27.08
470,1703-64638,M,Pine,27.6
471,1783-24872,M,Pine,27.6
472,1703-64507,M,Pine,27.47
473,1703-64453,M,Pine,26.23
474,1783-43585,M,Pine,27.23
475,1703-64629,M,Pine,27.11
476,1583-92721,M,Pine,27.09
477,1783-24871,M,Pine,26.99
478,1703-64477,M,Pine,26.94
479,1783-24887,M,Pine,26.94
480,1583-92745,M,Pine,26.93
481,1603-79117,M,Pine,26.89
482,1703-64467,M,Pine,26.84
483,1583-92716,M,Pine,26.83
484,1833-00684,M,Pine,26.18
485,1783-24630,M,Pine,25.98
486,1783-43472,M,Pine,26.4
487,1833-00502,M,Pine,26.36
488,1703-64401,M,Pine,26.34
489,1833-00504,M,Pine,26.33
490,1793-17831,M,Pine,26.32
491,1833-00691,M,Pine,25.5
492,1703-64487,M,Pine,26.21
493,1783-62754,M,Pine,26.18
494,1783-62643,M,Pine,26.16
495,1783-24860,M,Pine,26.1
496,1703-64631,M,Pine,26.06
497,1783-43471,M,Pine,25.66
498,1623-17890,M,Pine,25.85
499,1783-24827,M,Pine,25.85
500,1783-62650,M,Pine,25.81
501,1703-64492,M,Pine,25.8
502,1623-17879,M,Pine,25.73
503,1783-43580,M,Pine,25.71
504,1703-64472,M,Pine,25.69
505,1703-64493,M,Pine,25.69
506,1703-64652,M,Pine,25.6
507,1363-74595,M,Pine,25.65
508,1783-24870,M,Pine,25.49
509,1833-00515,M,Pine,25.64
510,1783-24620,M,Pine,25.61
511,1783-62629,M,Pine,25.6
512,1793-17861,M,Pine,25.18
513,1623-17886,M,Pine,25.56
514,1793-17837,M,Pine,25.52
515,1363-74549,M,Pine,24.56
516,1783-62634,M,Pine,25.48
517,1833-00561,M,Pine,25.46
518,1833-00675,M,Pine,25.2
519,1783-62637,M,Pine,25.39
520,1783-62630,M,Pine,25.36
521,1783-62655,M,Pine,25.35
522,1783-62657,M,Pine,25.33
523,1793-17835,M,Pine,25.31
524,1783-62654,M,Pine,25.27
525,1783-62688,M,Pine,24.93
526,1833-00696,M,Pine,25.12
527,1793-17829,M,Pine,25.11
528,1783-43581,M,Pine,25.07
529,1783-62627,M,Pine,25.07
530,1703-64454,M,Pine,25.02
531,1783-62658,M,Pine,25
532,1783-62664,M,Pine,25
533,1703-64460,M,Pine,24.99
534,1833-00528,M,Pine,24.96
535,1703-64480,M,Pine,24.87
536,1833-00547,M,Pine,24.87
537,1703-64456,M,Pine,24.85
538,1783-62668,M,Pine,24.85
539,1833-00539,M,Pine,24.78
540,1833-00670,M,Pine,24.75
541,1833-00505,M,Pine,24.67
542,1833-00603,M,Pine,24.67
543,1713-24965,M,Pine,24.56
544,1783-62663,M,Pine,24.5
545,1783-62670,M,Pine,24.49
546,1783-62628,M,Pine,24.3
547,1783-24825,M,Pine,24.29
548,1783-62622,M,Pine,24.28
549,1783-62631,M,Pine,24.25
550,1833-00548,M,Pine,24.22
551,1783-62623,M,Pine,24.12
552,1833-00671,M,Pine,23.94
553,1793-17830,M,Pine,23.62
554,1783-62651,M,Pine,23.61
555,1833-00550,M,Pine,23.24
556,1703-64600,M,Pine,22.97
557,1833-00559,M,Pine,22.86
